"","type","metric","ret","SE","low","high"
"1","-10","Relative # events",0.00298984715896858,NA,NA,NA
"2","-10","AAR",-0.000487729858544941,0.000313512191679999,-0.00110221375423774,0.000126754037147858
"3","-10","CAAR",-0.000487729858544941,0.000313512191679999,-0.00110221375423774,0.000126754037147858
"4","-9","Relative # events",0.00282938468341093,NA,NA,NA
"5","-9","AAR",-0.000268379920087778,0.000288458142032697,-0.000833757878471865,0.000296998038296309
"6","-9","CAAR",-0.000755972968013211,0.000426448313621301,-0.00159181166271096,7.98657266845393e-05
"7","-8","Relative # events",0.00260577417351435,NA,NA,NA
"8","-8","AAR",0.000281373486383412,0.000303002525560894,-0.00031251146371594,0.000875258436482763
"9","-8","CAAR",-0.0004745994816298,0.000534010198133434,-0.00152125946997133,0.00057206050671173
"10","-7","Relative # events",0.00275209929121267,NA,NA,NA
"11","-7","AAR",0.000225483474844812,0.000310300095259147,-0.000382704711863117,0.00083367166155274
"12","-7","CAAR",-0.000249116006784988,0.000611972852202199,-0.0014485827971013,0.000950350783531323
"13","-6","Relative # events",0.00292407137903877,NA,NA,NA
"14","-6","AAR",0.000445283870407547,0.000302266145146602,-0.000147157774079792,0.00103772551489489
"15","-6","CAAR",0.000196167863622559,0.000682695299824423,-0.00114191492403331,0.00153425065127843
"16","-5","Relative # events",0.00329863257362555,NA,NA,NA
"17","-5","AAR",-2.21075883366961e-05,0.000310903842626034,-0.000631479119883723,0.00058726394321033
"18","-5","CAAR",0.000174060275285863,0.000744196846737562,-0.00128456554431976,0.00163268609489148
"19","-4","Relative # events",0.00305159417910931,NA,NA,NA
"20","-4","AAR",0.000385322891578884,0.000306803964021794,-0.000216012877903832,0.000986658661061601
"21","-4","CAAR",0.000559383166864747,0.000814482156300194,-0.00103700185948363,0.00215576819321313
"22","-3","Relative # events",0.00293039282874786,NA,NA,NA
"23","-3","AAR",0.000328986791189771,0.000316959599463754,-0.000292254023759186,0.000950227606138728
"24","-3","CAAR",0.000888369958054519,0.000891305583530921,-0.000858588985666086,0.00263532890177512
"25","-2","Relative # events",0.0033929359236925,NA,NA,NA
"26","-2","AAR",-4.57062215540592e-05,0.000306237439437165,-0.000645931602850902,0.000554519159742784
"27","-2","CAAR",0.00084266373650046,0.00097599359701842,-0.00107028371365564,0.00275561118665656
"28","-1","Relative # events",0.00482373061784388,NA,NA,NA
"29","-1","AAR",0.00055047314192689,0.000334067813561741,-0.000104299772654123,0.0012052460565079
"30","-1","CAAR",0.00139313687842735,0.00104798240714525,-0.000660908639577332,0.00344718239643203
"31","0","Relative # events",0.01,NA,NA,NA
"32","0","AAR",0.000818624252764724,0.000385594450907806,6.28591289854241e-05,0.00157438937654402
"33","0","CAAR",0.00221176113119207,0.00111833490481923,1.98247177463839e-05,0.00440369754463776
"34","+1","Relative # events",0.00434445490608103,NA,NA,NA
"35","+1","AAR",-0.000355913575243046,0.000310924313649417,-0.000965325229995904,0.000253498079509811
"36","+1","CAAR",0.00186269009795469,0.001193209483419,-0.000476000489546551,0.00420138068545593
"37","+2","Relative # events",0.00322069742751537,NA,NA,NA
"38","+2","AAR",-0.000654400665458774,0.000382379622581566,-0.00140386472571864,9.50633948010952e-05
"39","+2","CAAR",0.00122389155954029,0.00126518917724358,-0.00125587922785712,0.0037036623469377
"40","+3","Relative # events",0.002949286548333,NA,NA,NA
"41","+3","AAR",-0.000521184640371164,0.000300219340043425,-0.00110961454685628,6.7245266113949e-05
"42","+3","CAAR",0.000714328057241528,0.00129864581642191,-0.00183101774294541,0.00325967385742846
"43","+4","Relative # events",0.00305194568184857,NA,NA,NA
"44","+4","AAR",6.83875740557305e-05,0.000290964158099362,-0.00050190217581902,0.000638677323930481
"45","+4","CAAR",0.000792220293289066,0.00133583520377879,-0.00182601670611737,0.0034104572926955
"46","+5","Relative # events",0.00318165480656347,NA,NA,NA
"47","+5","AAR",0.000286168615310546,0.00029562392067565,-0.000293254269213728,0.000865591499834821
"48","+5","CAAR",0.00107410910172348,0.00137799347815866,-0.0016267581154675,0.00377497631891445
"49","+6","Relative # events",0.00298607827776293,NA,NA,NA
"50","+6","AAR",-0.000273012999826028,0.000272004509168539,-0.000806141837796365,0.000260115838144309
"51","+6","CAAR",0.000803656112320935,0.00142003915655137,-0.00197962063451975,0.00358693285916162
"52","+7","Relative # events",0.00262749746973363,NA,NA,NA
"53","+7","AAR",-0.000545660726121119,0.000272956434526553,-0.00108065533779316,-1.06661144490762e-05
"54","+7","CAAR",0.000267590739041494,0.00146055212646754,-0.00259509142883488,0.00313027290691787
"55","+8","Relative # events",0.00253558146186197,NA,NA,NA
"56","+8","AAR",0.000437552691343166,0.000266508106612297,-8.48031976169357e-05,0.000959908580303268
"57","+8","CAAR",0.000709491379516905,0.00148848032575971,-0.00220793005897213,0.00362691281800594
"58","+9","Relative # events",0.00272385762899298,NA,NA,NA
"59","+9","AAR",0.000117850825680871,0.000276394617919409,-0.000423882625441171,0.000659584276802913
"60","+9","CAAR",0.000859659872515899,0.0015116116054336,-0.00210309887413395,0.00382241861916575
"61","+10","Relative # events",0.00291219447136645,NA,NA,NA
"62","+10","AAR",-0.000113618387831421,0.000274922758910023,-0.000652466995295066,0.000425230219632224
"63","+10","CAAR",0.000706778896874476,0.00153484607451446,-0.00230151940917387,0.00371507720292282
